Cluster,uplift_score,cluster
3,0.858933204065988,3
1,0.8939305123548567,1
3,0.8911509933701911,3
3,0.8760466621729983,3
1,0.8594776970659581,1
1,0.8994290807715402,1
3,0.7583967266665865,3
3,0.7681787719695512,3
1,0.7606706515645287,1
2,0.8013317127746011,2
3,0.9026362384421618,3
3,0.8099923351334593,3
3,0.8156068329122104,3
2,0.7737557617185149,2
1,0.8864330000671716,1
3,0.8413406398092149,3
3,0.7588082945085088,3
1,0.8677350433447242,1
1,0.8870042734834931,1
1,0.856075278851302,1
1,0.8109235188632826,1
1,0.8590489568381281,1
3,0.8810412245260477,3
1,0.8913040910304353,1
1,0.8186768904110702,1
1,0.898294276963532,1
1,0.8993060284172105,1
1,0.833126050879859,1
1,0.8609200377881805,1
3,0.8911509933701911,3
1,0.8557096506692585,1
3,0.825322338432066,3
3,0.815025900981561,3
1,0.8484527615239494,1
2,0.8202064855922393,2
3,0.8699891229946146,3
2,0.8263605224009825,2
2,0.8009561707958519,2
2,0.8255903106793112,2
3,0.7538864261849303,3
1,0.7902151808073685,1
3,0.8160716398174179,3
2,0.7606854744552947,2
1,0.7969203362429431,1
1,0.9042207695317257,1
3,0.7613272541174549,3
3,0.9002945154477138,3
3,0.8669474319163739,3
1,0.7799196210804364,1
1,0.8914416988415348,1
3,0.778012052720054,3
0,0.7507028129972102,0
3,0.8854405113282511,3
1,0.8313884935521003,1
1,0.8913040910304353,1
1,0.8119560467612337,1
2,0.7465339344840285,2
3,0.8836975015555475,3
3,0.8568637713140879,3
2,0.7898933119254614,2
1,0.9079623563984978,1
0,0.7631532093771543,0
2,0.7834795191340107,2
0,0.8157255145987619,0
2,0.7847429956195326,2
3,0.8864153913909489,3
2,0.7473646838847989,2
1,0.8260436520245547,1
3,0.8080924456864316,3
1,0.8190021191901748,1
0,0.7526732019821227,0
1,0.9071405223379285,1
1,0.8535005915929494,1
1,0.8900934904253155,1
3,0.8459666956177441,3
0,0.7858061038640924,0
1,0.8551652610482117,1
1,0.8330885381781281,1
1,0.7648383149632922,1
1,0.8224216787854437,1
3,0.8431229561874347,3
1,0.8559951786089908,1
1,0.886680685652826,1
2,0.7537844491093271,2
1,0.8886628728328989,1
1,0.8366808053819199,1
1,0.8578343929792824,1
2,0.7486365305927238,2
1,0.8428402325954965,1
1,0.7860695137018048,1
1,0.8531485468027111,1
1,0.8083603059085829,1
0,0.7916909956682951,0
1,0.8355836520158118,1
1,0.8349916737175787,1
0,0.77281739449261,0
3,0.8257704683104838,3
1,0.8693860224615708,1
1,0.8081832332553218,1
1,0.7691835314959403,1
3,0.8675392083524154,3
1,0.7953502718486263,1
3,0.8317532158445777,3
3,0.8974669531478536,3
1,0.8109399614610309,1
3,0.7894377097159129,3
3,0.748881079187592,3
1,0.8587143861955944,1
1,0.8894373847638377,1
2,0.7502504164751025,2
3,0.8905319756019636,3
3,0.8700678651897373,3
3,0.8896796712580355,3
1,0.9001507005044278,1
3,0.7918842311830421,3
3,0.750037840077058,3
3,0.7940411917801482,3
3,0.7561659469812858,3
2,0.755242512743248,2
1,0.7871834711307915,1
1,0.8138950438032839,1
1,0.8015880557833797,1
1,0.7636722729132868,1
1,0.8994290807715402,1
1,0.9041458614844757,1
1,0.8296414706670057,1
3,0.8690384640124669,3
1,0.8880989593285218,1
1,0.8241180444621272,1
2,0.7484922847020687,2
0,0.7621684831295041,0
1,0.8401962010125439,1
0,0.800405016040499,0
0,0.7475554411595098,0
2,0.7595471770909124,2
2,0.8191940937552884,2
0,0.7639190078960676,0
2,0.7839965076267483,2
1,0.811447260018449,1
1,0.8521812641390158,1
3,0.8470369535917444,3
3,0.817017583324317,3
2,0.7497664786193534,2
3,0.8033458668323852,3
3,0.8074850983171316,3
1,0.8114850320583904,1
1,0.8275830616255397,1
1,0.8899773432978049,1
3,0.8582009077074313,3
1,0.8991893870000838,1
1,0.8616922703287957,1
3,0.8558574706318967,3
2,0.7784287219539712,2
2,0.7794542508741573,2
1,0.8073963538263962,1
3,0.8198593745964575,3
1,0.8534434325956466,1
1,0.8590766866474875,1
2,0.8111789520854082,2
1,0.8186778388320326,1
2,0.7757802817567354,2
1,0.8091661912762576,1
1,0.8109474900288252,1
1,0.8021351708516158,1
3,0.7939831340665595,3
3,0.8771380565432352,3
1,0.8943477607660748,1
1,0.8154766788682841,1
1,0.8922993657856546,1
